table_src   table_dst   remark
bids    my_bids 회사 관련 입찰(공고) 정보
board_comments  comments_board  게시판 댓글
channel_dev board_dev   게시판(개발)
channel_manual  board_manual    게시판(매뉴얼)
channel_op  board_op    게시판(운영)
details notice_details  공고 상세정보
errors_scraping errors_notice_scraping 공고 스크랩 에러
logs_scraping logs_notice_scraping 공고 스크랩 로그그
files   notice_files    공고 첨부 파일
notices notice_list 공고 목록
settings_category   settings_notice_category    설정(공고 업무 구분)
settings_detail settings_notice_detail  설정(공고 상세정보 스크랩)
settings_notices   settings_notice_list  설정(공고 목록 스크랩)
settings_nas_folder settings_nas_path 설정(NAS 폴더 경로)
