No	업종코드	업종명
170	1504	토양관련전문기관(누출검사)
171	1508	일반소방시설관리업
172	1513	지하수정화업
173	1514	변호사사무소
174	1516	해외건설업(건설엔지니어링업)
175	1517	출판사
176	1518	인쇄사
177	1519	계량기제조업
178	1520	계량기수리업
179	1521	계량증명업
180	1523	응급환자이송업
181	1524	유독물관리대행기관
182	1525	대기환경관리대행기관
183	1527	방염처리업(섬유류방염업)
184	1528	방염처리업(합성수지류방염업)
185	1529	방염처리업(합판, 목재류방염업)
186	1535	무대시설 안전진단전문기관
187	1542	정보보호 전문서비스 기업
188	2101	남북교류협력사업자
189	2102	남북교류협력 결제업무 취급기관
190	2103	지역통일교육센터
191	2104	공무원전문교육훈련기관
192	2105	소액투자등남북교류협력사업
193	2106	선거여론조사기관
194	2201	해외이주알선업
195	2301	법무사업(법무사법인)
196	2302	공증인(사무소)
197	2303	공증인(합동사무소)
198	2304	법률구조법인
199	2305	법무법인
200	2306	외국변호사의 개업
201	2307	법무법인(유한)
202	2308	법문화진흥센터
203	2309	법무사업(합동사무소)
204	2310	외국법자문법률사무소
205	2311	지정공증인
206	2312	합작법무법인
207	2313	정부법무공단
208	2314	사회통합 프로그램 운영기관
209	2401	공익법인
210	2501	갱생보호사업
211	2502	교정업무 민간위탁 및 교정법인
212	2503	민영교도소
213	2601	새마을금고
214	2604	옥외광고사업
215	2606	유선사업
216	2607	도선사업
217	2609	원가계산용역기관(행안부 기준)
218	2610	원가검토기관(행안부 기준)
219	2613	부동산거래정보사업자
220	2614	행정사업(해사행정사)
221	2615	행정사업(외국어번역행정사)
222	2616	행정사업(일반행정사)
223	2617	부동산중개업(법인)
224	2618	부동산중개업(공인중개사)
225	2619	부동산중개업(법률 제7638호 부칙 제6조 제2항)
226	2620	행정사합동사무소
227	2621	지방재정공제사업(재해복구 및 손해배상)
228	2622	행정사법인
229	2701	교통안전교육기관
230	2702	자동차운전학원
231	2703	자동차운전전문학원
232	2705	사행기구제조업
233	2706	사행기구판매업
234	2708	총포의 개조·수리업
235	2709	화약류의 변형·가공업
236	2714	복표발행업
237	2715	현상업
238	2716	회전판돌리기업
239	2717	추첨업
240	2718	경품업
241	2725	클레이사격장(트랩)
242	2726	클레이사격장(스키트)
243	2727	라이플사격장(복도식)
244	2728	라이플사격장(격벽식)
245	2729	라이플사격장(자연식)
246	2730	권총사격장(복도식)
247	2731	권총사격장(격벽식)
248	2732	권총사격장(실내)
249	2733	권총사격장(자연식)
250	2734	공기총사격장(복도식)
251	2735	공기총사격장(격벽식)
252	2736	공기총사격장(실내)
253	2737	공기총사격장(자연식)
254	2738	석궁사격장(실내)
255	2739	석궁사격장(실외)
256	2740	화약류저장소(1급저장소)
257	2742	화약류저장소(3급저장소)
258	2743	화약류저장소(수중저장소)
259	2744	화약류저장소(실탄저장소)
260	2745	화약류저장소(꽃불류저장소)
261	2746	화약류저장소(장난감용꽃불류저장소)
262	2747	화약류저장소(도화선저장소)
263	2748	화약류저장소(간이저장소)
264	2749	범죄피해자지원법인
265	2750	종합사격장
266	2751	총포제조업
267	2752	화약류제조업
268	2753	도검제조업
269	2754	분사기제조업
270	2755	전자충격기제조업
271	2756	석궁제조업
272	2757	총포판매업
273	2758	도검판매업
274	2759	화약류판매업
275	2760	분사기판매업
276	2761	전자충격기판매업
277	2762	석궁판매업
278	2763	모의총포제조업
279	2765	경찰제복 제조,판매업
280	2766	경찰장비 제조,판매업(경찰수갑)
281	2767	경찰장비 제조,판매업(경찰방패)
282	2768	경찰장비 제조,판매업(경찰권총허리띠)
283	2769	경찰장비 제조,판매업(경찰차량 및 이륜차(경광등 및 도색,표시만 해당)
284	2770	예술소품용 총포임대업
285	2771	예술소품용 도검임대업
286	2772	예술소품용 분사기임대업
287	2773	예술소품용 전자충격기임대업
288	2774	예술소품용 석궁임대업
289	2775	혼잡ㆍ교통유도경비업무
290	2801	위험물제조소
291	2802	위험물탱크안전성능시험자
292	2803	위험물안전관리대행기관
293	2804	화재위험평가대행자
294	2817	위험물취급소(일반취급소)
295	2818	위험물취급소(주유취급소)
296	2819	위험물취급소(판매취급소)
297	2820	위험물취급소(이송취급소)
298	2821	위험물저장소(옥내저장소)
299	2822	위험물저장소(옥외탱크저장소)
300	2823	위험물저장소(옥내탱크저장소)
301	2824	위험물저장소(지하탱크저장소)
302	2825	위험물저장소(간이탱크저장소)
303	2826	위험물저장소(이동탱크저장소)
304	2827	위험물저장소(옥외저장소)
305	2828	위험물저장소(암반탱크저장소)
306	2830	소방기술자실무교육기관
307	2831	계측업
308	2832	계측기기성능검사대행자
309	2833	계측전문인력실무교육대행기관
310	2834	재해경감우수기업인증대행기관
311	2835	재해경감활동계획 수립 대행자
312	2836	소방산업전문인력양성기관
313	2837	소방산업 표준화사업 추진 전문기관
314	2838	제품검사 전문기관
315	2839	소방사업자
316	2840	안전교육기관
317	2841	전문소방시설관리업
318	2842	화재예방안전진단기관
319	2905	방위사업보증기관
320	2906	주요방산물자수출업
321	2907	주요방산물자중개업
322	2908	국방과학기술수출업
323	2909	국방과학기술중개업
324	2910	주요방산업체
325	2911	일반방산업체
326	2912	군복 제조업
327	2913	군용장구 제조업
328	2914	군복 판매업
329	2915	군용장구 판매업
330	2916	군용총포제조업
331	2917	군용도검제조업
332	2918	군용화약류제조업
333	2919	국방정보화전담기관
334	2920	국방정보화전문기술지원기관
335	2921	군수품무역대리업
336	3001	국가유공자 및 유족등 취업보호실시기관
337	3002	5.18민주유공자 취업지원실시기관
338	3102	교습소
339	3104	평생교육시설(학교형태)
340	3105	평생교육시설(사내대학형태)
341	3106	평생교육시설(원격대학형태)
342	3107	평생교육시설(사업장부설)
343	3108	평생교육시설(시민사회단체부설)
344	3109	평생교육시설(학교부설)
345	3110	평생교육시설(언론기관부설)
346	3111	평생교육사양성기관
347	3112	초·중등학교 등 설립
348	3113	고등학교 분교
349	3115	학교법인
350	3116	과학교육연구기관
351	3117	영재학교
352	3118	영재교육원
353	3119	유치원
354	3120	인적자원개발평가센터
355	3121	등록체육시설업(골프장업)
356	3122	등록체육시설업(스키장업)
357	3123	신고체육시설업(요트장업)
358	3124	신고체육시설업(조정장업)
359	3125	신고체육시설업(카누장업)
360	3126	신고체육시설업(빙상장업)
361	3128	신고체육시설업(승마장업)
362	3129	신고체육시설업(종합체육시설업)
363	3130	신고체육시설업(수영장업)
364	3131	신고체육시설업(체육도장업)
365	3132	신고체육시설업(볼링장업)
366	3133	신고체육시설업(테니스장업)
367	3134	신고체육시설업(골프연습장업)
368	3135	신고체육시설업(체력단련장업)
369	3136	신고체육시설업(에어로빅장업)
370	3137	신고체육시설업(당구장업)
371	3138	신고체육시설업(썰매장업)
372	3139	신고체육시설업(무도학원업)
373	3140	신고체육시설업(무도장업)
374	3144	평생교육시설(지식·인력개발사업관련)
375	3145	대학
376	3146	산업대학
377	3147	교육대학
378	3148	전문대학
379	3149	원격대학
380	3150	기술대학
381	3151	각종학교
382	3152	한국학교
383	3153	재외교육기관
384	3154	학력인정시설
385	3155	전문대학학력인정평생교육시설
386	3156	평생교육시설(원격)
387	3157	산학협력 기술지주회사
388	3158	어린이놀이시설 안전검사기관
389	3159	어린이놀이시설 안전관리지원기관
390	3167	고등교육기관의 평가ㆍ인증기관
391	3169	지역경제교육지원센터
392	3170	고등교육기관의 평가ㆍ인증기관(기관평가ㆍ인증)
393	3171	고등교육기관의 평가ㆍ인증기관(프로그램평가ㆍ인증)
394	3172	생명연구자원 기탁등록보존기관
395	3173	생명연구자원 기탁등록보존책임기관
396	3174	생명연구자원정보센터
397	3175	국가생명연구자원정보센터
398	3176	식생활교육기관
399	3177	한국교직원공제회
400	3178	산학협력단
401	3179	청소년복지시설(청소년쉼터)
402	3180	청소년복지시설(청소년자립지원관)
403	3181	청소년복지시설(청소년치료재활센터)
404	3182	특수외국어 전문교육기관
405	3183	체육지도자 자격검정기관
406	3184	체육지도자 연수기관
407	3185	생활체육 활동 및 체력 인증기관
408	3186	사립문학관
409	3188	청소년복지시설(청소년회복지원시설)
410	3189	개인과외교습자
411	3190	인성교육 전문인력 양성기관(유아)
412	3191	인성교육 전문인력 양성기관(초등)
413	3192	인성교육 전문인력 양성기관(중등)
414	3193	교육연수원
415	3194	교육행정연수원
416	3195	종합교육연수원
417	3196	원격교육연수원
418	3197	학교교과교습학원
419	3198	평생직업교육학원
420	3199	이스포츠시설
421	3201	문화유산매매업
422	3202	천연기념물 동물치료소
423	3203	공연장업
424	3204	음악유선방송사업
425	3205	전광판방송사업
426	3206	전송망사업
427	3207	영화제작업
428	3208	영화수입업
429	3209	영화배급업
430	3210	영화상영업
431	3213	비디오물시청제공업(비디오물감상실업)
432	3214	비디오물시청제공업(비디오물소극장업)
433	3215	비디오물시청제공업(기타비디오물시청제공업)
434	3217	노래연습장업
435	3218	복합유통게임제공업
436	3221	사립박물관
437	3222	사립미술관
438	3223	저작권위탁관리업(저작권신탁관리업)
439	3224	저작권위탁관리업(저작권대리중개업)
440	3226	사립전문도서관
441	3228	뉴스통신사업
442	3229	전통사찰
443	3230	방송영상독립제작자
444	3233	무대예술전문인검정기관
445	3234	문화산업진흥시설
446	3235	문화상품유통전문회사
447	3238	전문예술법인·단체
448	3239	외국 인공위성 무선설비이용 위성방송사업
449	3241	외국신문 지사
450	3242	지방문화원
451	3243	음반·음악영상물제작업
452	3244	비디오물제작업
453	3245	게임제작업
454	3246	음반·음악영상물배급업
455	3247	비디오물배급업
456	3248	게임배급업
